Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
what is a ticket deposit,1,1,1600,16,0.00,https://navan.com/resources/glossary/ticket-deposit-receipt,396,0.48,0.00,0,129000000,[100],2025-01-02,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
navan inc,1,1,390,47,363.23,https://navan.com/,312,0.38,113327.00,0.17,634000,"[54,44,54,67,100,100,54,10,29,7,12,44]",2024-12-14,"Knowledge panel, Sitelinks, Reviews, Image, Ads bottom, People also ask, Twitter carousel, Related searches, Things to know",navigational,Organic
navan app,1,1,320,43,95.29,https://navan.com/,256,0.31,24394.00,0.29,98,"[7,7,8,7,7,8,11,11,20,13,11,30]",2025-01-02,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches",navigational,Organic
navan - book a trip,1,1,320,33,75.25,https://navan.com/,256,0.31,19264.00,0.23,943000,"[23,19,54,36,54,54,54,44,44,44,54,100]",2024-12-27,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches","commercial, navigational",Organic
navan competitors,1,1,320,17,20.04,https://navan.com/resources/compare,256,0.31,5130.00,0.19,46300,"[7,5,7,5,5,7,5,5,8,11,100,37]",2024-12-29,"Image pack, Reviews, Ads bottom, People also ask, Related searches",commercial,Organic
aisle seat on an airplane,1,1,1000,44,0.00,https://navan.com/resources/glossary/what-is-aisle-seat,248,0.3,0.00,0,4640000,"[100,0]",2024-12-25,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
can unrefundable tickets be upgraded,1,1,1000,30,0.00,https://navan.com/resources/glossary/what-is-non-refundable-ticket,248,0.3,0.00,0,67900000,"[100,0]",2024-12-26,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
corporate retreat,1,1,880,26,8.91,https://navan.com/blog/traveler-experience/unique-corporate-retreat-locations-ideas-venues,218,0.26,1942.00,0.32,59000000,"[55,45,67,76,67,76,55,55,55,67,67,67]",2025-01-04,"Local pack, Image pack, Reviews, Image, Video Carousel, People also ask, Related searches",commercial,Organic
navan price,1,1,260,20,98.26,https://navan.com/pricing,208,0.25,20438.00,0.39,1380000,"[5,1,11,14,14,9,17,72,59,100,7,7]",2025-01-01,"Sitelinks, Reviews, Video, Image, Ads top, People also ask, Related searches","navigational, transactional",Organic
what is navan,1,1,260,40,371.58,https://navan.com/,208,0.25,77288.00,0.16,13300000,"[43,35,66,54,54,66,66,43,100,54,54,100]",2024-12-31,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, Ads top, People also ask, Twitter carousel, Related searches",navigational,Organic
car rental ag,1,1,720,44,1.37,https://navan.com/resources/glossary/car-rental-agreement,178,0.21,243.00,1,84800000,"[81,81,100,55,62,55,45,13,13,10,30,36]",2025-01-03,"Image pack, Sitelinks, Reviews, Featured snippet, Image, Related searches",informational,Organic
what is an itemized receipt,1,1,720,18,1.64,https://navan.com/resources/glossary/itemized-receipt,178,0.21,291.00,0,3540000,"[67,54,81,67,67,81,67,67,100,81,81,81]",2025-01-01,"Reviews, Featured snippet, People also ask, Related searches",informational,Organic
navan expense,1,1,210,21,93.69,https://navan.com/product/expense-management,168,0.2,15739.00,0.29,103000,"[4,54,44,0,19,54,36,54,19,29,2,2]",2024-12-22,"Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
navan nyc,1,1,210,22,0.00,https://navan.com/,168,0.2,0.00,0.13,85,"[14,22,18,22,29,54,43,54,81,100,35,18]",2024-12-27,"Local pack, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
navan expense management,1,1,170,28,97.06,https://navan.com/product/expense-management,136,0.16,13200.00,0.35,48,"[34,34,43,34,43,43,65,43,43,53,100,53]",2024-12-15,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches",transactional,Organic
navan application,1,1,170,27,93.26,https://navan.com/,136,0.16,12683.00,0.25,4470000,"[2,2,2,2,2,29,36,44,29,23,100,12]",2025-01-03,"Sitelinks, Reviews, Ads top, People also ask, Related searches",navigational,Organic
navan signup,1,1,170,15,0.00,https://navan.com/get-started,136,0.16,0.00,0,528000,"[15,28,65,100]",2025-01-03,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches",informational,Organic
corporate travel software,2,2,1000,51,62.01,https://navan.com/,132,0.16,8185.00,0.27,360000000,"[25,4,68,68,46,52,52,100,52,46,16,68]",2025-01-02,"Sitelinks, Reviews, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
business travel app,1,1,1000,37,43.52,https://navan.com/blog/traveler-experience/best-apps-for-business-travelers,132,0.16,5744.00,0.32,2100000000,"[1,24,36,66,100,10,10,52,1,24,44,5]",2025-01-03,"Carousel, Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",commercial,Organic
navan log in,1,1,140,18,20.17,https://navan.com/,112,0.13,2259.00,0,2990000,"[21,34,53,21,21,100,81,0,0,81,28,81]",2025-01-01,"Sitelinks, Reviews, Twitter carousel, Related searches","navigational, transactional",Organic
navan tripactions,1,1,140,62,16.86,https://navan.com/,112,0.13,1888.00,0.18,62,"[1,1,1,2,1,2,1,1,1,1,1,1]",2025-01-02,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know, Discussions and forums",navigational,Organic
navna,1,1,140,20,0.00,https://navan.com/,112,0.13,0.00,0,45,"[52,52,82,52,64,100,82,64,82,100,100,100]",2024-12-13,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
navan support,1,1,140,26,1.52,https://navan.com/contact,112,0.13,170.00,0.02,5220000,"[34,34,65,53,34,53,65,65,100,65,65,80]",2024-12-24,"Sitelinks, Reviews, Video, People also ask, Twitter carousel, Related searches",transactional,Organic
navan sign in,1,1,140,31,0.00,https://navan.com/,112,0.13,0.00,0,2700000,"[43,28,35,43,53,53,28,17,53,23,23,17]",2024-12-29,"Sitelinks, Reviews, Video, Twitter carousel, Related searches","navigational, transactional",Organic
tripactions navan,1,1,140,65,11.27,https://navan.com/,112,0.13,1262.00,0.13,18300,"[1,0,1,1,0,1,1,1,1,0,0,0]",2025-01-02,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",navigational,Organic
business travel software,3,3,1300,47,70.62,https://navan.com/,106,0.13,7485.00,0.49,910000000,"[8,22,2,54,43,0,54,100,22,0,20,5]",2025-01-04,"Image pack, Sitelinks, Reviews, People also ask, Related searches, Discussions and forums",commercial,Organic
what is depreciation,4,4,4400,62,0.35,https://navan.com/resources/glossary/what-is-depreciation,105,0.12,36.00,0,87600000,"[81,66,66,66,66,81,54,36,36,36,66,81]",2025-01-03,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
categorization,6,7,5400,42,0.00,https://navan.com/resources/glossary/what-is-categorization,102,0.12,0.00,0,164000000,"[29,44,19,12,29,24,16,24,54,66,81,66]",2025-01-07,"Instant answer, Video, People also ask, Related searches",informational,Organic
aisle seat in plane,1,1,390,43,0.00,https://navan.com/resources/glossary/what-is-aisle-seat,96,0.11,0.00,0,14700000,"[9,9,48,21,39,17,21,17,100,39,72,48]",2024-12-23,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
navan company,1,1,110,61,400.00,https://navan.com/,88,0.1,35200.00,0.16,13400000,"[26,53,65,42,65,42,34,26,34,42,34,34]",2024-12-29,"Knowledge panel, Sitelinks, Reviews, Ads top, People also ask, Twitter carousel, Related searches, Things to know",navigational,Organic
navan.com,1,1,110,55,65.20,https://navan.com/,88,0.1,5737.00,0.26,8170000,"[42,33,33,33,42,66,52,66,66,66,100,52]",2025-01-02,"Sitelinks, Reviews, Ads top, People also ask, Twitter carousel",navigational,Organic
navan san francisco,1,1,110,24,0.00,https://navan.com/,88,0.1,0.00,0.11,87,"[64,64,52,41,52,52,82,82,64,64,64,100]",2024-12-15,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, People also ask, Related searches","informational, navigational",Organic
navan expenses,1,1,110,21,93.69,https://navan.com/,88,0.1,8244.00,0.29,44,"[82,100,82,82,23,100,29,82,29,64,82,100]",2024-12-15,"Image pack, Sitelinks, Reviews, People also ask, Related searches",navigational,Organic
navan inc.,1,1,110,52,363.23,https://navan.com/,88,0.1,31964.00,0.17,638000,"[6,6,6,8,14,14,14,35,8,35,18,100]",2024-12-16,"Knowledge panel, Sitelinks, Reviews, People also ask, Twitter carousel, Related searches, Things to know",navigational,Organic
navan palo alto,1,1,110,43,0.00,https://navan.com/,88,0.1,0.00,0.03,52900,"[50,50,64,64,78,100,100,78,50,78,100,100]",2024-12-22,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
navan help center,1,1,110,15,0.00,https://app.navan.com/app/helpcenter/,88,0.1,0.00,0.01,800000,"[42,33,52,33,52,42,52,52,80,66,100,100]",2024-12-13,"Image pack, Sitelinks, Reviews, Video, Related searches","navigational, transactional",Organic
navan card,1,1,110,21,8.52,https://navan.com/,88,0.1,749.00,0.07,2970000,"[80,100,66,33,33,66,42,52,19,33,33,42]",2024-12-29,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
navans,1,1,110,51,392.26,https://navan.com/,88,0.1,34518.00,0.19,8370000,"[7,1,1,9,7,3,2,1,1,1,0,100]",2025-01-03,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, People also ask, Twitter carousel, Related searches, Things to know",navigational,Organic
navan headquarters,1,1,110,40,0.00,https://navan.com/blog/culture/tripactions-celebrates-new-hq-in-palo-alto,88,0.1,0.00,0,420000,"[26,19,42,100,42,42,34,34,26,53,34,42]",2024-12-13,"Knowledge panel, Sitelinks, Reviews, Image, People also ask, Related searches","informational, navigational",Organic
t&e,6,6,3600,28,10.27,https://navan.com/resources/glossary/what-is-travel-and-expense-t-and-e,86,0.1,883.00,0.01,4850000,"[81,81,81,81,65,65,81,81,81,65,81,65]",2025-01-07,"Local pack, Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
connections fly,4,4,3600,42,1.58,https://navan.com/resources/glossary/what-is-connection-flight,86,0.1,135.00,0.05,207000000,"[44,100,13,8,10,8,0,10,0,0,0,0]",2025-01-03,"Sitelinks, Reviews, Video, Image, People also ask, Related searches","commercial, informational",Organic
itemized receipt,4,4,4400,17,2.17,https://navan.com/resources/glossary/itemized-receipt,83,0.1,180.00,0.07,5770000,"[66,66,66,81,81,54,54,100,81,81,81,66]",2025-01-07,"Image pack, Sitelinks, Reviews, People also ask, Related searches, Discussions and forums",informational,Organic
navaan,1,1,320,37,0.00,https://navan.com/,79,0.09,0.00,0.01,968000,"[53,53,100,66,82,82,82,82,53,82,82,100]",2024-12-11,"Image pack, Video, Image, People also ask, Related searches, See results about",informational,Organic
plane seat width,1,1,320,41,0.00,https://navan.com/resources/glossary/what-is-seat-width,79,0.09,0.00,0,19200000,"[28,11,100,100,81,66,54,66,54,35,44,18]",2024-12-29,"Sitelinks, Featured snippet, Image, People also ask, Related searches, Discussions and forums",informational,Organic
low cost airlines,6,6,3600,59,0.62,https://navan.com/resources/glossary/low-cost-carrier,79,0.09,48.00,0.44,164000000,"[54,66,54,54,54,54,66,36,54,43,54,54]",2025-01-03,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",commercial,Organic
itemized receipts,1,1,590,23,2.37,https://navan.com/resources/glossary/itemized-receipt,77,0.09,182.00,0.07,8760000,"[8,30,13,41,10,10,100,10,13,8,7,36]",2025-01-03,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
aisle seat airplane,1,1,590,44,0.00,https://navan.com/resources/glossary/what-is-aisle-seat,77,0.09,0.00,0,11600000,"[54,44,81,44,54,54,44,100,44,100,54,67]",2024-12-28,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, AI overview",informational,Organic
corporate travel app,1,1,590,27,68.36,https://navan.com/blog/traveler-experience/best-apps-for-business-travelers,77,0.09,5263.00,0.46,805000000,"[20,34,0,100,1,0,82,0,0,1,2,5]",2025-01-04,"Carousel, Image pack, Reviews, Image, Video Carousel, People also ask, Related searches",commercial,Organic
airline seat width,1,1,590,31,0.00,https://navan.com/resources/glossary/what-is-seat-width,77,0.09,0.00,0,11100000,"[67,54,67,67,67,67,54,54,54,54,67,54]",2024-12-27,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, AI overview",informational,Organic
go navan,1,1,90,34,347.18,https://navan.com/,72,0.08,24996.00,0.15,4920000,"[50,35,64,64,64,64,78,35,78,100,100,100]",2024-12-23,"Image pack, Sitelinks, Reviews, Video, Image, Ads top, Related searches",navigational,Organic
red eye flight,9,9,18100,42,0.54,https://navan.com/resources/glossary/what-is-red-eye-flight,72,0.08,38.00,0.13,328000000,"[44,81,54,36,67,54,81,67,67,44,44,44]",2025-01-07,"Sitelinks, Reviews, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
navan.com login,1,1,90,49,0.00,https://navan.com/,72,0.08,0.00,0,70,"[54,8,6,8,18,15,15,15,28,11,8,8]",2024-12-18,"Sitelinks, Reviews, Video, People also ask, Related searches","navigational, transactional",Organic
tripacitons,1,1,90,48,18.22,https://navan.com/,72,0.08,1311.00,0.21,96500,"[0,0,52,0,0,0,0,0,0,0,0,0]",2024-12-28,"Knowledge panel, Sitelinks, Reviews, Video, Image, Ads top, Video Carousel, People also ask, Related searches, Things to know",navigational,Organic
navan phone number,1,1,90,11,0.00,https://navan.com/contact,72,0.08,0.00,0,60,"[42,42,100,66,42,66,42,33,33,23,23,14]",2024-12-27,"Sitelinks, Related searches","navigational, transactional",Organic
navan nyc office,1,1,90,23,11.60,https://navan.com/contact,72,0.08,835.00,0.02,23600,"[41,29,41,29,41,64,64,82,64,64,52,64]",2024-12-27,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Twitter carousel, Related searches",informational,Organic
navan rewards,1,1,90,21,239.37,https://navan.com/blog/cost-savings/navan-rewards-program,72,0.08,17234.00,0.13,617000,"[42,23,42,42,52,42,33,42,42,42,42,52]",2024-12-15,"Sitelinks, Reviews, Video, Image, Ads top, People also ask, Related searches",informational,Organic
capex definition,4,0,2900,40,0.13,https://navan.com/resources/glossary/what-is-capital-expense-capex,69,0.08,8.00,0.01,26800000,"[54,81,81,29,81,100,65,100,20,54,81,81]",2025-01-07,"Instant answer, Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
departure time,1,1,260,34,0.00,https://navan.com/resources/glossary/what-is-departure-time,64,0.07,0.00,0,707000000,"[2,20,20,16,13,20,30,20,24,24,20,24]",2025-01-01,"Image pack, Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
dimensions of airplane seat,1,1,260,50,0.00,https://navan.com/resources/glossary/what-is-seat-width,64,0.07,0.00,0,4270000,"[22,18,81,43,100,81,35,100,29,29,35,81]",2024-12-19,"Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
airplane seat width,1,1,480,41,0.00,https://navan.com/resources/glossary/what-is-seat-width,63,0.07,0.00,0,24300000,"[81,66,81,100,66,66,81,81,81,54,66,44]",2024-12-25,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, AI overview",informational,Organic
seat aisle airplane,1,1,480,44,0.00,https://navan.com/resources/glossary/what-is-aisle-seat,63,0.07,0.00,0,11800000,"[0,67,81,44,44,67,81,54,81,100,44,44]",2024-12-29,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, AI overview",informational,Organic
what is a capital expense,4,4,2400,42,0.02,https://navan.com/resources/glossary/what-is-capital-expense-capex,57,0.07,1.00,0,218000000,"[65,29,65,54,65,65,65,43,54,54,43,100]",2025-01-02,"Knowledge panel, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
tripactions careers,1,1,70,24,0.00,https://navan.com/careers,56,0.06,0.00,0.01,39,"[5,3,8,6,6,5,5,5,5,8,3,6]",2024-12-24,"Image pack, Reviews, People also ask, Related searches",commercial,Organic
navan business travel,1,1,70,32,98.50,https://navan.com/,56,0.06,5516.00,0.29,58,"[11,11,11,64,52,52,52,52,52,52,41,100]",2024-12-26,"Image pack, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
jobs in navan,1,1,70,19,0.00,https://navan.com/careers,56,0.06,0.00,0.01,731000,"[17,29,64,64,52,17,5,52,52,52,41,41]",2025-01-03,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
navan austin office,1,1,70,31,17.14,https://navan.com/about/press/tripactions-opens-austin-tx-office,56,0.06,959.00,0.07,82,"[18,27,45,36,63,100,81,81,100,63,63,63]",2024-12-22,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Related searches","informational, navigational",Organic
navan customer service phone number,1,1,70,17,0.00,https://navan.com/contact,56,0.06,0.00,0,56,"[17,23,23,52,41,5,5,11,100,52,52,64]",2025-01-02,"Sitelinks, Related searches","navigational, transactional",Organic
navan news,1,1,70,23,400.00,https://navan.com/about/press,56,0.06,22400.00,0.08,5760000,"[11,64,41,41,41,41,52,41,41,41,41,29]",2025-01-02,"Sitelinks, Reviews, Twitter carousel, Related searches","navigational, transactional",Organic
navan jobs,1,1,70,17,0.00,https://navan.com/careers,56,0.06,0.00,0,94,"[33,33,42,0,42,19,14,14,23,52,66,33]",2024-12-22,"Image pack, Sitelinks, Related searches","commercial, navigational",Organic
navan vs concur,1,1,70,15,12.70,https://navan.com/resources/compare/navan-vs-concur,56,0.06,711.00,0.39,90,"[45,81,63,81,100,100,63,45,45,63,63,81]",2025-01-05,"Image pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
navan customer service number 24/7,1,1,70,23,0.00,https://navan.com/contact,56,0.06,0.00,0.04,37,"[0,64,100,23,41,11]",2024-12-30,"Sitelinks, Related searches","informational, navigational",Organic
navan customer service telephone number,1,1,70,23,0.00,https://navan.com/contact,56,0.06,0.00,0.05,34,"[100,45,81,63,27,81,36,81,100,18,18,18]",2024-12-31,"Sitelinks, Related searches","navigational, transactional",Organic
nava travel,1,1,70,30,5.28,https://navan.com/,56,0.06,295.00,0.21,9340000,"[4,4,4,4,4,4,4,4,100,29,4,6]",2024-12-26,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
navan connect,1,1,70,28,14.85,https://navan.com/blog/technology-and-innovation/navan-connect-next-gen-fintech,56,0.06,831.00,0.03,444000,"[5,2,7,4,3,4,2,2,3,3,2,2]",2024-12-31,"Image pack, Sitelinks, Reviews, Video, Related searches","informational, transactional",Organic
navan credit card,1,1,70,20,10.31,https://navan.com/blog/insights-trends/best-business-credit-cards-for-startups,56,0.06,577.00,0.66,584000,"[0,0,9,81,81,100,81,81,100,63,9,45]",2024-12-26,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
navan career,1,1,70,17,0.00,https://navan.com/careers,56,0.06,0.00,0,97,"[0,0,0,0,0,4,4,0,0,100,0,0]",2024-12-30,"Image pack, Sitelinks, Reviews, Related searches",commercial,Organic
fx money exchange,1,1,210,84,2.40,https://navan.com/resources/glossary/what-is-foreign-currency-exchange,52,0.06,124.00,0.1,398000000,"[12,15,9,9,15,9,19,12,100,54,36,19]",2024-12-14,"Sitelinks, Video, Featured snippet, People also ask, Related searches, See results about",informational,Organic
using accrual accounting revenues are recorded,1,1,210,28,0.00,https://navan.com/resources/glossary/what-is-accrual-accounting,52,0.06,0.00,0,2440000,"[5,19,19,54,19,10,12,23,5,5,54,36]",2024-12-30,"Reviews, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
company retreat locations,1,1,210,8,7.46,https://navan.com/blog/traveler-experience/unique-corporate-retreat-locations-ideas-venues,52,0.06,387.00,0.42,34000000,"[43,34,43,43,53,43,65,53,100,100,65,100]",2024-12-21,"Image pack, Sitelinks, Reviews, Related searches, Discussions and forums",commercial,Organic
retreat corporate,1,1,390,25,7.42,https://navan.com/blog/traveler-experience/unique-corporate-retreat-locations-ideas-venues,51,0.06,378.00,0.39,56500000,"[32,7,88,14,39,72,72,48,17,17,14,17]",2024-12-16,"Image pack, Reviews, Image, People also ask, Related searches, AI overview",informational,Organic
what is capitalised expenditure,6,5,2400,49,0.04,https://navan.com/resources/glossary/what-is-capital-expense-capex,45,0.05,1.00,0.01,163000000,"[54,65,81,81,100,65,54,54,54,22,13,8]",2025-01-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
is navan a yc company,4,0,1900,25,0.00,https://navan.com/about,45,0.05,0.00,0,56,[100],2025-01-07,"Sitelinks, Video, People also ask, Related searches",commercial,Organic
currency exchange definiion,5,5,1900,73,0.00,https://navan.com/resources/glossary/what-is-foreign-currency-exchange,45,0.05,0.00,0,72300000,[100],2025-01-07,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
currency exchange definiton,5,5,1900,73,0.00,https://navan.com/resources/glossary/what-is-foreign-currency-exchange,45,0.05,0.00,0,74100000,[100],2025-01-07,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
define of currency exchange,5,0,1900,72,0.00,https://navan.com/resources/glossary/what-is-foreign-currency-exchange,45,0.05,0.00,0,173000000,[100],2025-01-07,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
currency exchange short definition,7,7,2400,71,0.00,https://navan.com/resources/glossary/what-is-foreign-currency-exchange,45,0.05,0.00,0,39000000,[100],2025-01-05,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
navan ireland,8,8,14800,46,104.00,https://navan.com/,44,0.05,4576.00,0.22,4790000,"[66,100,66,66,54,13,13,36,10,2,3,13]",2025-01-07,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Related searches, Things to know","commercial, informational",Organic
business travel management app,1,1,170,43,87.46,https://navan.com/blog/traveler-experience/best-apps-for-business-travelers,42,0.05,3673.00,0.2,847000000,"[5,9,29,29,36,29,29,36,19,23,23,2]",2025-01-03,"Knowledge panel, Sitelinks, Reviews, People also ask, Related searches",informational,Organic
navan com,1,1,50,42,65.20,https://navan.com/,40,0.04,2608.00,0.26,5410000,"[57,57,100,71,100,71,100,100,71,57,57,57]",2024-12-27,"Sitelinks, Reviews, Video, Ads top, People also ask, Twitter carousel, Related searches",navigational,Organic
navan customer service number usa,1,1,50,19,1.43,https://navan.com/contact,40,0.04,57.00,0.08,63,"[9,18,9,18,36,100,100]",2024-12-28,"Sitelinks, Related searches","navigational, transactional",Organic
navan phone numbers,1,1,50,11,0.00,https://navan.com/contact,40,0.04,0.00,0,48,"[14,14,14,14,14,0,64,64,64,50,35,50]",2024-12-21,"Sitelinks, Related searches",transactional,Organic
navan support phone number,1,2,50,19,0.00,https://navan.com/contact,40,0.04,0.00,0,5140000,"[18,45,27,27,81,100,81,100,100,18,18,18]",2025-01-08,"Sitelinks, Reviews, People also ask, Twitter carousel, Related searches",transactional,Organic
navan cost,1,1,50,22,95.48,https://navan.com/pricing,40,0.04,3819.00,0.17,3330000,"[18,18,18,18,36,45,63,81,100,100,18,100]",2024-12-19,"Image pack, Reviews, Video, Ads top, People also ask, Related searches",transactional,Organic
navan new york office,1,1,50,29,0.00,https://navan.com/contact,40,0.04,0.00,0.07,79,"[27,36,45,27,45,36,63,63,63,100,18,45]",2024-12-16,"Knowledge panel, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
navan offices,1,1,50,35,0.00,https://navan.com/contact,40,0.04,0.00,0.01,1230000,"[78,14,64,14,64,14,28,14,100,21,14,14]",2024-12-15,"Local pack, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches","commercial, navigational",Organic
navan customer support,1,1,50,17,0.00,https://navan.com/contact,40,0.04,0.00,0,43,"[11,11,17,64,11,11,64,11,64,100,11,17]",2024-12-21,"Sitelinks, Related searches",transactional,Organic
navan travel app,1,1,50,33,96.00,https://navan.com/,40,0.04,3840.00,0.28,185000,"[6,6,6,6,6,6,6,6,6,6,100,6]",2025-01-06,"Sitelinks, Reviews, Video, Ads top, People also ask, Related searches","commercial, navigational",Organic
navan travel phone number,1,1,50,28,3.47,https://navan.com/contact,40,0.04,138.00,0.09,46,"[18,18,18,27,81,81,27,81,100,45,81,63]",2024-12-16,"Sitelinks, Reviews, Related searches",transactional,Organic
